article_id,parameter_type,parameter_from_figure,parameter_value,parameter_lower_bound,parameter_upper_bound,inverse_param,parameter_unit,parameter_value_type,method_from_supplement,parameter_statistical,parameter_uncertainty_singe_type,parameter_uncertainty_single_value,parameter_uncertainty_type,parameter_uncertainty_lower_value,parameter_uncertainty_upper_value,distribution_type,distribution_par1_value,parameter_paired,parameter_type_2,parameter_value_2,parameter_range_low_2,parameter_range_upper_2,parameter_inverse_2,parameter_unit_2,parameter_value_type_2,parameter_supplement_2,parameter_statistical_2,parameter_unc_single_type_2,parameter_unc_single_value_2,parameter_unc_pair_type_2,parameter_unc_pair_value_low_2,parameter_unc_pair_value_up_2,distribution_par2_type,distribution_par2_value,genome_site,genomic_sequence_available,method_r,r_pathway,parameter_hd_from,other_delay_start,parameter_hd_to,other_delay_end,cfr_ifr_numerator,cfr_ifr_denominator,cfr_ifr_method,riskfactor_outcome,riskfactor_name,riskfactor_occupation,riskfactor_significant,riskfactor_adjusted,method_disaggregated,method_disaggregated_by,method_disaggregated_only,parameter_context_human,parameter_context_nonhuman,parameter_context_genotype,population_sex,population_sample_size,parameter_context_sample_type,population_sample_type,population_group,population_age_min,population_age_max,population_country,population_location,data_available ,parameter_notes,exponent,population_study_start_day,population_study_start_month,population_study_start_year,population_study_end_day,population_study_end_month,population_study_end_year,parameter_data_id,id
98,Risk factors,FALSE,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Infection,Other,NA,Significant,Adjusted,NA,NA,NA,Human,NA,NA,Both,512,NA,Hospital based,Persons with symptoms,NA,NA,Peru,Madre de Dios; Huanuco; Piura,Yes - as an attachment,'Other' is specific symptoms,0,NA,1,2015,NA,12,2016,912bbe8c-f787-4ec4-8459-5d7b50f0a659,a624ef17-3e14-4479-8cf9-6c98819e0bfb
98,Risk factors,FALSE,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Infection,"Sex,Other",NA,Not significant,Not adjusted,NA,NA,NA,Human,NA,NA,Both,512,NA,Hospital based,Persons with symptoms,NA,NA,Peru,Madre de Dios; Huanuco; Piura,Yes - as an attachment,'other' - time; some symptoms; some other pathogens,0,NA,1,2015,NA,12,2016,d0c9f5dc-b712-4e23-b648-e669df35b654,a624ef17-3e14-4479-8cf9-6c98819e0bfb
98,Risk factors,FALSE,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Infection,"Age,Other",NA,Significant,Not adjusted,NA,NA,NA,Human,NA,NA,Both,512,NA,Hospital based,Persons with symptoms,NA,NA,Peru,Madre de Dios; Huanuco; Piura,Yes - as an attachment,'other' - location; some symptoms; some other conditions,0,NA,1,2015,NA,12,2016,276dfd8a-e7f8-40a2-bbed-dd0242e77ce7,a624ef17-3e14-4479-8cf9-6c98819e0bfb
94,Infection prevalence - PCR [Oropouche ONLY],FALSE,NA,NA,NA,FALSE,NA,Central - unspecified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,352,NA,NA,NA,NA,NA,NA,NA,NA,NA,Human,NA,NA,Unspecified,352,plasma,Hospital based,Persons with symptoms,NA,NA,Brazil,Amazonas State,Yes - on another platform,NA,0,NA,2,2016,NA,6,2016,79e636a7-9736-4678-986c-6d0d32803702,6f6e9840-a618-4f43-b59f-ebecd83c2352
94,Infection prevalence - PCR [Oropouche ONLY],FALSE,NA,NA,NA,FALSE,NA,Central - unspecified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,Human,NA,NA,Unspecified,5,saliva,Hospital based,Persons under investigation,NA,NA,Brazil,Amazonas State,Yes - on another platform,of the 5 people who tested positive before with plasma positive were then tested using saliva and urine samples,0,NA,2,2016,NA,6,2016,98f36ae6-f477-43df-8c3b-5cecf2848d32,6f6e9840-a618-4f43-b59f-ebecd83c2352
94,Infection prevalence - PCR [Oropouche ONLY],FALSE,NA,NA,NA,FALSE,NA,Central - unspecified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,Human,NA,NA,Both,5,urine,Hospital based,Persons under investigation,NA,NA,Brazil,Amazonas State,Yes - on another platform,of the 5 people who tested positive before with plasma positive were then tested using saliva and urine samples,0,NA,2,2016,NA,6,2016,a9913cdf-bdf1-4b5c-8a21-3d2d6fbb7667,6f6e9840-a618-4f43-b59f-ebecd83c2352
77,Infection prevalence - PCR [Oropouche ONLY],FALSE,26.4,NA,NA,FALSE,Percentage (%),Central - unspecified,No,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131,496,NA,NA,NA,NA,NA,NA,Yes,No,"Age,Sex,Time,Other",Human,NA,NA,Both,496,serum,Population based,Persons with symptoms,NA,NA,Peru,Piura; coastal region in northwestern Peru,Yes - on another platform,'Other' disaggregation - people with and without coinfections. Can't add the range here as given in num/denom form instead of as a percentage.,0,NA,2,2016,NA,9,2016,33f1e01c-3c41-46bf-8dd1-a4c45f70e607,4b45a579-3f0d-478f-bb30-d5cbcaf60325
77,Risk factors,FALSE,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Infection,"Age,Other",NA,Significant,Not adjusted,NA,NA,NA,Human,NA,NA,Both,496,serum,Population based,Persons with symptoms,NA,NA,Peru,"Piura, coastal region in northwestern Peru",Yes - on another platform,'other' - month,0,NA,2,2016,NA,9,2016,99b8b23a-bae3-41f3-a7e2-73b61ca370f0,4b45a579-3f0d-478f-bb30-d5cbcaf60325
77,Risk factors,FALSE,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Infection,Sex,NA,Not significant,Not adjusted,NA,NA,NA,Human,NA,NA,Both,496,serum,Population based,Persons with symptoms,NA,NA,Peru,"Piura, coastal region in northwestern Peru",Yes - on another platform,NA,0,NA,2,2016,NA,9,2016,f5b65309-c1bd-4ca5-b095-f5869d7911f5,4b45a579-3f0d-478f-bb30-d5cbcaf60325
79,Infection prevalence - PCR [Oropouche ONLY],FALSE,NA,NA,NA,FALSE,Percentage (%),Mean,No,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,166,NA,NA,NA,NA,NA,NA,No,No,NA,Human,NA,NA,Both,166,serum,Hospital based,Persons under investigation,1,88,Brazil,Amapa,Not available,NA,0,NA,8,2014,NA,5,2015,47229b59-c868-4a54-91cc-d68f5da0ae1a,84ce84fb-a273-4d42-92d5-50c4a6ec1fbb
79,Seroprevalence - PRNT,FALSE,10.24,NA,NA,FALSE,Percentage (%),Mean,No,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,166,Adjusted,NA,NA,NA,NA,NA,No,No,NA,Human,NA,NA,Both,166,serum,Hospital based,Persons under investigation,1,88,Brazil,Amapa,Not available,NA,0,NA,8,2014,NA,5,2015,b71908d7-5522-48be-b24a-b2951e7f9071,84ce84fb-a273-4d42-92d5-50c4a6ec1fbb
79,Human delay - symptom onset>discharge/recovery,FALSE,NA,2,17,FALSE,Days,Unspecified,No,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,NA,Human,NA,NA,Both,17,serum,Hospital based,Persons under investigation,24,88,Brazil,Amapa,Not available,NA,0,NA,8,2014,NA,5,2015,3195602f-1942-426d-bbe0-e4d6364e3755,84ce84fb-a273-4d42-92d5-50c4a6ec1fbb
6,Human delay - other human delay (go to section),FALSE,3,NA,NA,FALSE,Days,Case Study,No,Case study [Oropouche ONLY],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Symptom Onset/Fever,NA,Seeking Care,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Human,NA,NA,Male,1,NA,Hospital based,Persons under investigation,28,28,Brazil,RibeirÃ£o Preto,Unspecified,NA,0,NA,4,2016,NA,4,2016,a8d69d19-a703-4afd-a1bf-e4806a5bc6f0,43123045-0a6d-4e90-841d-eb0f311402cf
6,Human delay - time in care (length of stay),FALSE,7,NA,NA,FALSE,Days,Case Study,NA,Case study [Oropouche ONLY],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Human,NA,NA,Male,1,NA,Hospital based,Persons under investigation,28,28,Brazil,RibeirÃ£o Preto,Unspecified,NA,0,NA,4,2016,NA,4,2016,98754ee0-1487-4395-ac1b-8fc1d6972fbb,43123045-0a6d-4e90-841d-eb0f311402cf
6,Human delay - other human delay (go to section),FALSE,7,NA,NA,FALSE,Days,Case Study,NA,Case study [Oropouche ONLY],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Symptom Onset/Fever,NA,Symptom Worsening,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Human,NA,NA,Male,1,NA,Hospital based,Persons under investigation,28,28,Brazil,RibeirÃ£o Preto,Unspecified,"""Seven days after initial symptom onset, the patient’s headache worsened and became left-sided and pulsatile; intense photophobia, vomiting, and fever (105.8°F) developed""",0,NA,4,2016,NA,4,2016,11,43123045-0a6d-4e90-841d-eb0f311402cf
6,Human delay - incubation period,FALSE,10,NA,NA,FALSE,Days,Case Study,NA,Case study [Oropouche ONLY],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,NA,Human,NA,NA,Male,1,NA,Hospital based,Persons under investigation,28,28,Brazil,RibeirÃ£o Preto,Unspecified,NA,0,NA,4,2016,NA,4,2016,b226b9f7-7fa7-473b-8e15-fe64e4484733,43123045-0a6d-4e90-841d-eb0f311402cf
14,Infection prevalence - Other [Oropouche ONLY],FALSE,NA,NA,NA,FALSE,NA,Central - unspecified,NA,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,54,Naive,NA,NA,NA,NA,NA,No,No,NA,Human,NA,Genotype I,Unspecified,54,NA,Community based,Persons with symptoms,NA,NA,Brazil,Parauapebas,Unspecified,NA,0,NA,NA,2003,NA,NA,2003,d928290e-42c1-4e79-9d5b-b817fca1bb9f,164bff3d-6cc7-4a3b-9f4d-e54293a9c3f3
14,Infection prevalence - Other [Oropouche ONLY],FALSE,NA,NA,NA,FALSE,NA,Central - unspecified,NA,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,11,Naive,NA,NA,NA,NA,NA,No,No,NA,Human,NA,Genotype II,Unspecified,11,NA,Community based,Persons with symptoms,NA,NA,Brazil,Porto de Moz,Unspecified,NA,0,NA,NA,2004,NA,NA,2004,6c9afa04-5866-4f30-b9d4-ed91ba13402d,164bff3d-6cc7-4a3b-9f4d-e54293a9c3f3
14,Seroprevalence - HAI/HI,FALSE,12.7,NA,NA,FALSE,Percentage (%),Unspecified,No,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,125,NA,NA,NA,NA,NA,NA,No,No,NA,Human,NA,NA,Unspecified,125,serum,Community based,Persons with symptoms,NA,NA,Brazil,Vila Sansao; Parauapebas,Unspecified,NA,0,NA,NA,2004,NA,NA,2004,0647ea1d-5af6-4d2b-860b-17010d327005,164bff3d-6cc7-4a3b-9f4d-e54293a9c3f3
14,Seroprevalence - HAI/HI,FALSE,4.8,NA,NA,FALSE,Percentage (%),Unspecified,NA,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,125,NA,NA,NA,NA,NA,NA,No,No,NA,Human,NA,NA,Unspecified,125,serum,Community based,Persons with symptoms,NA,NA,Brazil,Paulo Fontelles; Parauapebas,Unspecified,NA,0,NA,NA,2003,NA,NA,2003,6f66cc6a-9c13-4a77-ad4d-7855098492c5,164bff3d-6cc7-4a3b-9f4d-e54293a9c3f3
14,Seroprevalence - HAI/HI,FALSE,3.2,NA,NA,FALSE,Percentage (%),Unspecified,No,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,125,NA,NA,NA,NA,NA,NA,No,No,NA,Human,NA,NA,NA,125,serum,Community based,Persons with symptoms,NA,NA,Brazil,other localities; Parauapebas,Unspecified,NA,0,NA,NA,2003,NA,NA,2003,5d7573c0-c46e-4257-a215-cc856b439b5e,164bff3d-6cc7-4a3b-9f4d-e54293a9c3f3
14,Seroprevalence - IgM,FALSE,12.7,NA,NA,FALSE,Percentage (%),Unspecified,No,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,125,NA,NA,NA,NA,NA,NA,No,No,NA,Human,NA,NA,Unspecified,125,serum,Community based,Persons with symptoms,NA,NA,Brazil,Vila Sansao; Parauapebas,Unspecified,NA,0,NA,NA,2003,NA,NA,2003,25161e55-65bd-49f4-8d9a-d2cff7d95946,164bff3d-6cc7-4a3b-9f4d-e54293a9c3f3
14,Seroprevalence - IgM,FALSE,4.8,NA,NA,FALSE,Percentage (%),Unspecified,NA,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,125,NA,NA,NA,NA,NA,NA,No,No,NA,Human,NA,NA,Unspecified,125,serum,Community based,Persons with symptoms,NA,NA,Brazil,Paulo Fontelles; Parauapebas,Unspecified,NA,0,NA,NA,2003,NA,NA,2003,9edace70-d1a9-404e-b180-6cf84df8a634,164bff3d-6cc7-4a3b-9f4d-e54293a9c3f3
14,Seroprevalence - IgM,FALSE,4.8,NA,NA,FALSE,Percentage (%),Unspecified,NA,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,125,NA,NA,NA,NA,NA,NA,No,No,NA,Human,NA,NA,Unspecified,125,serum,Community based,Persons with symptoms,NA,NA,Brazil,other localities; Parauapebas,Unspecified,NA,0,NA,NA,2003,NA,NA,2003,71e7e848-40ed-429d-b528-e04be09764b6,164bff3d-6cc7-4a3b-9f4d-e54293a9c3f3
14,Seroprevalence - HAI/HI,FALSE,46.7,NA,NA,FALSE,Percentage (%),Unspecified,NA,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,117,NA,NA,NA,NA,NA,NA,No,No,NA,Human,NA,NA,Both,117,serum,Community based,Persons with symptoms,NA,NA,Brazil,Porto de Moz,Unspecified,NA,0,NA,NA,2004,NA,NA,2004,85350312-f8c9-4490-a0a8-b26b9118543d,164bff3d-6cc7-4a3b-9f4d-e54293a9c3f3
14,Seroprevalence - IgM,FALSE,52.1,NA,NA,FALSE,Percentage (%),Unspecified,NA,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,117,NA,NA,NA,NA,NA,NA,Yes,No,"Age,Sex",Human,NA,NA,Both,117,serum,Community based,Persons with symptoms,NA,NA,Brazil,Porto de Moz,Unspecified,NA,0,NA,NA,2004,NA,NA,2004,087344a0-15fb-4412-934c-b15f7dbf444d,164bff3d-6cc7-4a3b-9f4d-e54293a9c3f3
14,Severity - proportion of cases that relapse,FALSE,70,NA,NA,FALSE,Percentage (%),Unspecified,NA,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Human,NA,NA,Both,NA,serum,Community based,Persons with symptoms,NA,NA,Brazil,NA,Unspecified,"""Seventy percent of patients reported ≥1 episode of recurrence of fever, characterized by fever, headache, and other symptoms ≈2–3 weeks after onset of initial symptoms (2,3)."" Doesn't specify any further in terms of sample size & location",0,NA,NA,2003,NA,NA,2004,12,164bff3d-6cc7-4a3b-9f4d-e54293a9c3f3
14,Human delay - other human delay (go to section),FALSE,NA,2,3,FALSE,Days,Unspecified,NA,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Symptom Onset/Fever,NA,Symptom Recurrence ,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,NA,Human,NA,NA,Both,NA,serum,Community based,Persons with symptoms,NA,NA,Brazil,NA,Unspecified,"""Seventy percent of patients reported ≥1 episode of recurrence of fever, characterized by fever, headache, and other symptoms ≈2–3 weeks after onset of initial symptoms (2,3)."" Doesn't specify any further in terms of sample size & location",0,NA,NA,2003,NA,NA,2004,13,164bff3d-6cc7-4a3b-9f4d-e54293a9c3f3
14,Seroprevalence - IgM,FALSE,NA,NA,NA,FALSE,Percentage (%),Central - unspecified,NA,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,"Age,Sex",Human,NA,NA,Both,125,serum,Community based,Persons with symptoms,NA,NA,Brazil,Parauapebas,Unspecified,NA,0,NA,NA,2003,NA,NA,2003,e359b970-ede6-4417-807b-c861566683d6,164bff3d-6cc7-4a3b-9f4d-e54293a9c3f3
29,Infection prevalence - PCR [Oropouche ONLY],FALSE,NA,NA,NA,FALSE,NA,Central - unspecified,No,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,175,NA,NA,NA,NA,NA,NA,No,No,NA,Human,NA,Lineage II,Both,175,plasma,Mixed settings,Persons under investigation,NA,NA,Colombia,Leticia; Amazonas Department,Unspecified,NA,0,NA,NA,2019,NA,NA,2019,348b8919-eb00-4750-90f5-7efd721e23ba,d9b43190-95fa-4b33-9622-cbe7382810cf
71,Seroprevalence - IgM,FALSE,40,NA,NA,FALSE,Percentage (%),Central - unspecified,No,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,94,Unspecified,NA,NA,NA,NA,NA,No,No,NA,Human,NA,NA,Both,94,Blood and serum,Community based,Mixed groups,NA,NA,Brazil,Santa Barbara do Para,Not available,"""Ninety-four subjects were investigated, including those who had a febrile illness at the time of the interview and those who reported fever in the last 30 days or had contact with people with febrile illness.""",0,NA,1,2018,NA,2,2018,cad9edeb-ff74-423c-abf6-15efa659e6d8,84bf3188-5f1e-4e0d-b827-a0231f583fd6
71,Severity - proportion of symptomatic cases,FALSE,NA,NA,NA,FALSE,NA,Central - unspecified,No,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,47,Unspecified,NA,NA,NA,NA,NA,NA,NA,NA,Human,NA,NA,Unspecified,47,NA,Community based,Persons under investigation,NA,NA,Brazil,Santa Barbara do Para,Not available,NA,0,NA,1,2018,NA,2,2018,14,84bf3188-5f1e-4e0d-b827-a0231f583fd6
71,Human delay - other human delay (go to section),FALSE,8,2,28,FALSE,Days,Central - unspecified,No,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Symptom Resolution,NA,Symptom Recurrence ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Human,NA,NA,Unspecified,14,NA,Community based,Persons under investigation,NA,NA,Brazil,Santa Barbara do Para,Not available,NA,0,NA,1,2018,NA,2,2018,15,84bf3188-5f1e-4e0d-b827-a0231f583fd6
71,Infection prevalence - PCR [Oropouche ONLY],FALSE,53.8,NA,NA,FALSE,NA,Central - unspecified,No,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,26,Unspecified,NA,NA,NA,NA,NA,NA,NA,NA,Human,NA,NA,Unspecified,26,NA,Community based,Persons under investigation,NA,NA,Brazil,Santa Barbara do Para,Not available,virus isolation in Table 1,0,NA,1,2018,NA,2,2018,16,84bf3188-5f1e-4e0d-b827-a0231f583fd6
71,Severity - proportion of cases that relapse,FALSE,31.14,NA,NA,FALSE,Percentage (%),Central - unspecified,No,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,41,Unspecified,NA,NA,NA,NA,NA,NA,NA,NA,Human,NA,NA,Unspecified,41,NA,Community based,Persons with symptoms,NA,NA,Brazil,Santa Barbara do Para,Not available,"""We identified 14 cases of OROV with recurrence of symptoms (34.14%),""",0,NA,1,2018,NA,2,2018,17,84bf3188-5f1e-4e0d-b827-a0231f583fd6
71,Human delay - symptom onset>discharge/recovery,FALSE,NA,0,10,FALSE,Days,Unspecified,No,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,NA,Human,NA,NA,Both,42,NA,Community based,Mixed groups,NA,NA,Brazil,Santa Barbara do Para,Not available,NA,0,NA,1,2018,NA,2,2018,c2993d25-97e7-442c-acf6-347b313d8005,84bf3188-5f1e-4e0d-b827-a0231f583fd6
99,Infection prevalence - PCR [Oropouche ONLY],FALSE,NA,NA,NA,FALSE,NA,Central - unspecified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,20,NA,NA,NA,NA,NA,NA,No,No,NA,Human,NA,NA,Unspecified,20,blood,Population based,Mixed groups,NA,NA,Haiti,Gressier region,Unspecified,"Mixed groups - children, febrile and those who have tested negative for a bunch of other things",0,NA,NA,2014,NA,NA,NA,58157f0d-ccf9-40d9-8d4c-c6b7c974bf7a,35236c10-2d92-4d26-9114-3c01ed791f62
95,Infection prevalence - PCR [Oropouche ONLY],FALSE,0,NA,NA,FALSE,Percentage (%),Central - unspecified,NA,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,857,NA,NA,NA,NA,NA,NA,NA,NA,NA,Human,NA,NA,Both,857,serum,Population based,Persons with symptoms,18,65,Brazil,Rondonia,Unspecified,"""one sample was positive for the MAYV with a cycle threshold value (Ct) of 20.2 for RT-qPCR, and had a negative result for all other viruses tested""",0,NA,1,2022,NA,7,2023,9ec66125-994c-4fd1-a94d-19ee3a3aaeb8,be6b52f3-4455-498e-a352-74f74823829d
96,Seroprevalence - IgM,FALSE,20.3,NA,NA,FALSE,Percentage (%),Central - unspecified,No,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128,631,NA,NA,NA,NA,NA,NA,NA,NA,NA,Human,NA,NA,Both,631,blood,Hospital based,Persons with symptoms,2,81,Brazil,Manaus,Unspecified,NA,0,NA,1,2007,NA,11,2008,26805653-998b-4679-9cb3-1e9c46515251,2889a934-7c12-4450-83dc-ccd8f71efc6e
