id,parameter_data_id,covidence_id,pathogen,parameter_type,parameter_value,exponent,parameter_unit,parameter_lower_bound,parameter_upper_bound,parameter_value_type,parameter_uncertainty_single_value,parameter_uncertainty_singe_type,parameter_uncertainty_lower_value,parameter_uncertainty_upper_value,parameter_uncertainty_type,cfr_ifr_numerator,cfr_ifr_denominator,distribution_type,distribution_par1_value,distribution_par1_type,distribution_par1_uncertainty,distribution_par2_value,distribution_par2_type,distribution_par2_uncertainty,method_from_supplement,method_moment_value,cfr_ifr_method,method_r,method_disaggregated_by,method_disaggregated,method_disaggregated_only,riskfactor_outcome,riskfactor_name,riskfactor_occupation,riskfactor_significant,riskfactor_adjusted,population_sex,population_sample_type,population_group,population_age_min,population_age_max,population_sample_size,population_country,population_location,population_study_start_day,population_study_start_month,population_study_start_year,population_study_end_day,population_study_end_month,population_study_end_year,genome_site,genomic_sequence_available,other_delay_start,other_delay_end,inverse_param,parameter_from_figure,parameter_class,ebola_variant,other_delay,delay_short,delay_start,other_rf_outcome,attack_rate_type,survey_start_date,survey_end_date,survey_date,parameter_bounds,comb_uncertainty_type,comb_uncertainty,article_qa_score,outbreak,ebola_species
a9b0be2651cc6d8d5899ed00f9c4bb5c,e0d452d5aea72b3307868aef99207321,2594,Ebola virus,Human delay - Symptom Onset/Fever to Reporting,12.9,0,Days,NA,NA,Mean,NA,NA,NA,NA,NA,NA,NA,Gamma,12.91,Mean,FALSE,7.72,Mean sd,FALSE,FALSE,Post outbreak,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,Both,Unspecified,Unspecified,NA,NA,317,DRC,Kikwit,NA,Jan,1995,NA,Jun,1995,NA,FALSE,Symptom Onset/Fever,Reporting,FALSE,FALSE,Human delay,Zaire Ebola virus (EBOV),Symptom Onset/Fever to Reporting,Symptom onset to reporting,Symptom onset,NA,NA,Jan 1995,Jun 1995,Jan 1995 - Jun 1995,NA,NA,NA,100,"DRC, 1995",Zaire
a9b0be2651cc6d8d5899ed00f9c4bb5c,9baf758dc2bc1fe35eb1e3fb88b9a56a,2594,Ebola virus,Human delay - Symptom Onset/Fever to Admission to Care/Hospitalisation,5.02,0,Days,NA,NA,Mean,NA,NA,NA,NA,NA,NA,NA,Gamma,5.02,Mean,FALSE,3.91,Mean sd,FALSE,FALSE,Post outbreak,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,Both,Unspecified,Unspecified,NA,NA,317,DRC,Kikwit,NA,Jan,1995,NA,Jun,1995,NA,FALSE,Symptom Onset/Fever,Admission to Care/Hospitalisation,FALSE,FALSE,Human delay,Zaire Ebola virus (EBOV),Symptom Onset/Fever to Admission to Care/Hospitalisation,Symptom onset to admission to care,Symptom onset,NA,NA,Jan 1995,Jun 1995,Jan 1995 - Jun 1995,NA,NA,NA,100,"DRC, 1995",Zaire
a9b0be2651cc6d8d5899ed00f9c4bb5c,c70a61d876605ae6c723edd6c05987ce,2594,Ebola virus,Human delay - Symptom Onset/Fever to Death,9.47,0,Days,NA,NA,Mean,NA,NA,NA,NA,NA,NA,NA,Gamma,9.47,Mean,FALSE,4.44,Mean sd,FALSE,FALSE,Post outbreak,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,Both,Unspecified,Unspecified,NA,NA,317,DRC,Kikwit,NA,Jan,1995,NA,Jun,1995,NA,FALSE,Symptom Onset/Fever,Death,FALSE,FALSE,Human delay,Zaire Ebola virus (EBOV),Symptom Onset/Fever to Death,Symptom onset to death,Symptom onset,NA,NA,Jan 1995,Jun 1995,Jan 1995 - Jun 1995,NA,NA,NA,100,"DRC, 1995",Zaire
a9b0be2651cc6d8d5899ed00f9c4bb5c,f0d612742167f3904ff7eb3e12198cc7,2594,Ebola virus,Human delay - time in care (length of stay),5.72,0,Days,NA,NA,Mean,NA,NA,NA,NA,NA,NA,NA,Gamma,5.72,Mean,FALSE,5.67,Mean sd,FALSE,FALSE,Post outbreak,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,Both,Unspecified,Unspecified,NA,NA,317,DRC,Kikwit,NA,Jan,1995,NA,Jun,1995,NA,FALSE,NA,NA,FALSE,FALSE,Human delay,Zaire Ebola virus (EBOV),NA,Admission to care to death/discharge,Admission to care,NA,NA,Jan 1995,Jun 1995,Jan 1995 - Jun 1995,NA,NA,NA,100,"DRC, 1995",Zaire
a9b0be2651cc6d8d5899ed00f9c4bb5c,79b99cad7ce7f90f9dcd36009dba6b33,2594,Ebola virus,Human delay - Admission to Care/Hospitalisation to Death,4.5,0,Days,NA,NA,Mean,NA,NA,NA,NA,NA,NA,NA,Gamma,4.5,Mean,FALSE,3.69,Mean sd,FALSE,FALSE,Post outbreak,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,Both,Unspecified,Unspecified,NA,NA,317,DRC,Kikwit,NA,Jan,1995,NA,Jun,1995,NA,FALSE,Admission to Care/Hospitalisation,Death,FALSE,FALSE,Human delay,Zaire Ebola virus (EBOV),Admission to Care/Hospitalisation to Death,Admission to care to death,Admission to care,NA,NA,Jan 1995,Jun 1995,Jan 1995 - Jun 1995,NA,NA,NA,100,"DRC, 1995",Zaire
a9b0be2651cc6d8d5899ed00f9c4bb5c,cf4264448584f93127b79711b23e6c73,2594,Ebola virus,Severity - case fatality rate (CFR),74,0,Percentage (%),NA,NA,Mean,NA,NA,68,79,95% CI,187,NA,NA,NA,NA,FALSE,NA,NA,FALSE,TRUE,Post outbreak,Adjusted,NA,"Age, Time",TRUE,FALSE,NA,NA,NA,NA,NA,Both,Unspecified,Unspecified,NA,NA,264,DRC,Mweka,NA,Apr,2007,NA,Oct,2007,NA,FALSE,NA,NA,FALSE,FALSE,Severity,Zaire Ebola virus (EBOV),NA,NA,Other,NA,NA,Apr 2007,Oct 2007,Apr 2007 - Oct 2007,NA,95% CI,68 - 79,100,"DRC, 2007",Zaire
a9b0be2651cc6d8d5899ed00f9c4bb5c,b392d42b2fdb8e2c683f5a6b9ac1909a,2594,Ebola virus,"Reproduction number (Effective, Re)",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Post outbreak,NA,Branching process,Time,TRUE,TRUE,NA,NA,NA,NA,NA,Both,Unspecified,Unspecified,NA,NA,264,DRC,Mweka,NA,Apr,2007,NA,Oct,2007,NA,FALSE,NA,NA,FALSE,TRUE,Reproduction number,Zaire Ebola virus (EBOV),NA,NA,Other,NA,NA,Apr 2007,Oct 2007,Apr 2007 - Oct 2007,NA,NA,NA,100,"DRC, 2007",Zaire
a9b0be2651cc6d8d5899ed00f9c4bb5c,4704e8616bdf9d2cd435f9fa2285ede2,2594,Ebola virus,Human delay - Symptom Onset/Fever to Reporting,0,0,Days,NA,NA,Mean,NA,NA,NA,NA,NA,NA,NA,Gamma,0,Mean,FALSE,0,Mean sd,FALSE,FALSE,Post outbreak,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,Both,Unspecified,Unspecified,NA,NA,264,DRC,Mweka,NA,Apr,2007,NA,Oct,2007,NA,FALSE,Symptom Onset/Fever,Reporting,FALSE,FALSE,Human delay,Zaire Ebola virus (EBOV),Symptom Onset/Fever to Reporting,Symptom onset to reporting,Symptom onset,NA,NA,Apr 2007,Oct 2007,Apr 2007 - Oct 2007,NA,NA,NA,100,"DRC, 2007",Zaire
a9b0be2651cc6d8d5899ed00f9c4bb5c,128e77ec42218584d6cedf0f162c638e,2594,Ebola virus,Severity - case fatality rate (CFR),44,0,Percentage (%),NA,NA,Mean,NA,NA,26,62,95% CI,14,32,NA,NA,NA,FALSE,NA,NA,FALSE,TRUE,Post outbreak,Adjusted,NA,"Age, Time",TRUE,FALSE,NA,NA,NA,NA,NA,Both,Unspecified,Unspecified,NA,NA,32,DRC,Mweka,NA,Nov,2008,NA,Jan,2009,NA,FALSE,NA,NA,FALSE,FALSE,Severity,Zaire Ebola virus (EBOV),NA,NA,Other,NA,NA,Nov 2008,Jan 2009,Nov 2008 - Jan 2009,NA,95% CI,26 - 62,100,"DRC, 2008-2009",Zaire
a9b0be2651cc6d8d5899ed00f9c4bb5c,ce0bb2ceda30bb708dd3219f946cbf3d,2594,Ebola virus,"Reproduction number (Effective, Re)",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Post outbreak,NA,Branching process,Time,TRUE,TRUE,NA,NA,NA,NA,NA,Both,Unspecified,Unspecified,NA,NA,32,DRC,Mweka,NA,Nov,2008,NA,Jan,2009,NA,FALSE,NA,NA,FALSE,TRUE,Reproduction number,Zaire Ebola virus (EBOV),NA,NA,Other,NA,NA,Nov 2008,Jan 2009,Nov 2008 - Jan 2009,NA,NA,NA,100,"DRC, 2008-2009",Zaire
a9b0be2651cc6d8d5899ed00f9c4bb5c,d79a599fd2882bfa8dfd9266bbd4e529,2594,Ebola virus,Human delay - Symptom Onset/Fever to Reporting,10.04,0,Days,NA,NA,Mean,NA,NA,NA,NA,NA,NA,NA,Gamma,10.04,Mean,FALSE,8.47,Mean sd,FALSE,FALSE,Post outbreak,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,Both,Unspecified,Unspecified,NA,NA,32,DRC,Mweka,NA,Nov,2008,NA,Jan,2009,NA,FALSE,Symptom Onset/Fever,Reporting,FALSE,FALSE,Human delay,Zaire Ebola virus (EBOV),Symptom Onset/Fever to Reporting,Symptom onset to reporting,Symptom onset,NA,NA,Nov 2008,Jan 2009,Nov 2008 - Jan 2009,NA,NA,NA,100,"DRC, 2008-2009",Zaire
a9b0be2651cc6d8d5899ed00f9c4bb5c,4b9e9266adfda812d1f6f42d22e8669a,2594,Ebola virus,Human delay - Symptom Onset/Fever to Admission to Care/Hospitalisation,0,0,Days,NA,NA,Mean,NA,NA,NA,NA,NA,NA,NA,Gamma,0,Mean,FALSE,0,Mean sd,FALSE,FALSE,Post outbreak,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,Both,Unspecified,Unspecified,NA,NA,32,DRC,Mweka,NA,Nov,2008,NA,Jan,2009,NA,FALSE,Symptom Onset/Fever,Admission to Care/Hospitalisation,FALSE,FALSE,Human delay,Zaire Ebola virus (EBOV),Symptom Onset/Fever to Admission to Care/Hospitalisation,Symptom onset to admission to care,Symptom onset,NA,NA,Nov 2008,Jan 2009,Nov 2008 - Jan 2009,NA,NA,NA,100,"DRC, 2008-2009",Zaire
a9b0be2651cc6d8d5899ed00f9c4bb5c,365cd27a1c10c648548b59eafd3c6aca,2594,Ebola virus,Human delay - Symptom Onset/Fever to Death,7.62,0,Days,NA,NA,Mean,NA,NA,NA,NA,NA,NA,NA,Gamma,7.62,Mean,FALSE,4.44,Mean sd,FALSE,FALSE,Post outbreak,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,Both,Unspecified,Unspecified,NA,NA,32,DRC,Mweka,NA,Nov,2008,NA,Jan,2009,NA,FALSE,Symptom Onset/Fever,Death,FALSE,FALSE,Human delay,Zaire Ebola virus (EBOV),Symptom Onset/Fever to Death,Symptom onset to death,Symptom onset,NA,NA,Nov 2008,Jan 2009,Nov 2008 - Jan 2009,NA,NA,NA,100,"DRC, 2008-2009",Zaire
a9b0be2651cc6d8d5899ed00f9c4bb5c,7cffbd19447c43904f201134e66d6606,2594,Ebola virus,Human delay - time in care (length of stay),1.5,0,Days,NA,NA,Mean,NA,NA,NA,NA,NA,NA,NA,Gamma,1.5,Mean,FALSE,2.12,Mean sd,FALSE,FALSE,Post outbreak,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,Both,Unspecified,Unspecified,NA,NA,32,DRC,Mweka,NA,Nov,2008,NA,Jan,2009,NA,FALSE,NA,NA,FALSE,FALSE,Human delay,Zaire Ebola virus (EBOV),NA,Admission to care to death/discharge,Admission to care,NA,NA,Nov 2008,Jan 2009,Nov 2008 - Jan 2009,NA,NA,NA,100,"DRC, 2008-2009",Zaire
a9b0be2651cc6d8d5899ed00f9c4bb5c,e19be5a841c004ceb2c7cb77e7c5b974,2594,Ebola virus,Human delay - Admission to Care/Hospitalisation to Death,11,0,Days,NA,NA,Mean,NA,NA,NA,NA,NA,NA,NA,Gamma,11,Mean,FALSE,9.85,Mean sd,FALSE,FALSE,Post outbreak,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,Both,Unspecified,Unspecified,NA,NA,32,DRC,Mweka,NA,Nov,2008,NA,Jan,2009,NA,FALSE,Admission to Care/Hospitalisation,Death,FALSE,FALSE,Human delay,Zaire Ebola virus (EBOV),Admission to Care/Hospitalisation to Death,Admission to care to death,Admission to care,NA,NA,Nov 2008,Jan 2009,Nov 2008 - Jan 2009,NA,NA,NA,100,"DRC, 2008-2009",Zaire
a9b0be2651cc6d8d5899ed00f9c4bb5c,9a403e1ba3449e259eba2b438015588b,2594,Ebola virus,Severity - case fatality rate (CFR),54,0,Percentage (%),NA,NA,Mean,NA,NA,39,68,95% CI,28,52,NA,NA,NA,FALSE,NA,NA,FALSE,TRUE,Post outbreak,Adjusted,NA,"Age, Time",TRUE,FALSE,NA,NA,NA,NA,NA,Both,Unspecified,Unspecified,NA,NA,52,DRC,Isiro,NA,Jun,2012,NA,Nov,2012,NA,FALSE,NA,NA,FALSE,FALSE,Severity,Bundibugyo virus (BDBV),NA,NA,Other,NA,NA,Jun 2012,Nov 2012,Jun 2012 - Nov 2012,NA,95% CI,39 - 68,100,"DRC, 2012",Bundibugyo
a9b0be2651cc6d8d5899ed00f9c4bb5c,6e4225f048f88679fca3868875853932,2594,Ebola virus,"Reproduction number (Effective, Re)",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Post outbreak,NA,Branching process,Time,TRUE,TRUE,NA,NA,NA,NA,NA,Both,Unspecified,Unspecified,NA,NA,52,DRC,Isiro,NA,Jun,2012,NA,Nov,2012,NA,FALSE,NA,NA,FALSE,TRUE,Reproduction number,Bundibugyo virus (BDBV),NA,NA,Other,NA,NA,Jun 2012,Nov 2012,Jun 2012 - Nov 2012,NA,NA,NA,100,"DRC, 2012",Bundibugyo
a9b0be2651cc6d8d5899ed00f9c4bb5c,9893ae27c7c2eeb4bd2a42f7b8c66c10,2594,Ebola virus,Human delay - Symptom Onset/Fever to Reporting,8.83,0,Days,NA,NA,Mean,NA,NA,NA,NA,NA,NA,NA,Gamma,8.83,Mean,FALSE,8.29,Mean sd,FALSE,FALSE,Post outbreak,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,Both,Unspecified,Unspecified,NA,NA,52,DRC,Isiro,NA,Jun,2012,NA,Nov,2012,NA,FALSE,Symptom Onset/Fever,Reporting,FALSE,FALSE,Human delay,Bundibugyo virus (BDBV),Symptom Onset/Fever to Reporting,Symptom onset to reporting,Symptom onset,NA,NA,Jun 2012,Nov 2012,Jun 2012 - Nov 2012,NA,NA,NA,100,"DRC, 2012",Bundibugyo
a9b0be2651cc6d8d5899ed00f9c4bb5c,d43773564c7cd60030ace37832910dc2,2594,Ebola virus,Human delay - Symptom Onset/Fever to Admission to Care/Hospitalisation,4,0,Days,NA,NA,Mean,NA,NA,NA,NA,NA,NA,NA,Gamma,4,Mean,FALSE,3.27,Mean sd,FALSE,FALSE,Post outbreak,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,Both,Unspecified,Unspecified,NA,NA,52,DRC,Isiro,NA,Jun,2012,NA,Nov,2012,NA,FALSE,Symptom Onset/Fever,Admission to Care/Hospitalisation,FALSE,FALSE,Human delay,Bundibugyo virus (BDBV),Symptom Onset/Fever to Admission to Care/Hospitalisation,Symptom onset to admission to care,Symptom onset,NA,NA,Jun 2012,Nov 2012,Jun 2012 - Nov 2012,NA,NA,NA,100,"DRC, 2012",Bundibugyo
a9b0be2651cc6d8d5899ed00f9c4bb5c,b8edee65029faf7ead02794a21e6de2d,2594,Ebola virus,Human delay - Symptom Onset/Fever to Death,11.37,0,Days,NA,NA,Mean,NA,NA,NA,NA,NA,NA,NA,Gamma,11.37,Mean,FALSE,5.41,Mean sd,FALSE,FALSE,Post outbreak,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,Both,Unspecified,Unspecified,NA,NA,52,DRC,Isiro,NA,Jun,2012,NA,Nov,2012,NA,FALSE,Symptom Onset/Fever,Death,FALSE,FALSE,Human delay,Bundibugyo virus (BDBV),Symptom Onset/Fever to Death,Symptom onset to death,Symptom onset,NA,NA,Jun 2012,Nov 2012,Jun 2012 - Nov 2012,NA,NA,NA,100,"DRC, 2012",Bundibugyo
a9b0be2651cc6d8d5899ed00f9c4bb5c,e3ee52c2722212d6597179e5dcbaf65c,2594,Ebola virus,Human delay - time in care (length of stay),8,0,Days,NA,NA,Mean,NA,NA,NA,NA,NA,NA,NA,Gamma,8,Mean,FALSE,6.56,Mean sd,FALSE,FALSE,Post outbreak,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,Both,Unspecified,Unspecified,NA,NA,52,DRC,Isiro,NA,Jun,2012,NA,Nov,2012,NA,FALSE,NA,NA,FALSE,FALSE,Human delay,Bundibugyo virus (BDBV),NA,Admission to care to death/discharge,Admission to care,NA,NA,Jun 2012,Nov 2012,Jun 2012 - Nov 2012,NA,NA,NA,100,"DRC, 2012",Bundibugyo
a9b0be2651cc6d8d5899ed00f9c4bb5c,ba689d1be010d68f2a4d803f9b2793d2,2594,Ebola virus,Human delay - Admission to Care/Hospitalisation to Death,7.59,0,Days,NA,NA,Mean,NA,NA,NA,NA,NA,NA,NA,Gamma,7.59,Mean,FALSE,5.52,Mean sd,FALSE,FALSE,Post outbreak,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,Both,Unspecified,Unspecified,NA,NA,52,DRC,Isiro,NA,Jun,2012,NA,Nov,2012,NA,FALSE,Admission to Care/Hospitalisation,Death,FALSE,FALSE,Human delay,Bundibugyo virus (BDBV),Admission to Care/Hospitalisation to Death,Admission to care to death,Admission to care,NA,NA,Jun 2012,Nov 2012,Jun 2012 - Nov 2012,NA,NA,NA,100,"DRC, 2012",Bundibugyo
a9b0be2651cc6d8d5899ed00f9c4bb5c,51c40619d67a0c5db0c1587b3368c4f7,2594,Ebola virus,Severity - case fatality rate (CFR),74,0,Percentage (%),NA,NA,Mean,NA,NA,62,84,95% CI,49,66,NA,NA,NA,FALSE,NA,NA,FALSE,TRUE,Post outbreak,Adjusted,NA,"Age, Time",TRUE,FALSE,NA,NA,NA,NA,NA,Both,Unspecified,Unspecified,NA,NA,68,DRC,Boende,NA,Aug,2012,NA,Oct,2012,NA,FALSE,NA,NA,FALSE,FALSE,Severity,Zaire Ebola virus (EBOV),NA,NA,Other,NA,NA,Aug 2012,Oct 2012,Aug 2012 - Oct 2012,NA,95% CI,62 - 84,100,"DRC, 2012",Zaire
a9b0be2651cc6d8d5899ed00f9c4bb5c,ed1b060b95f02dff09b22a7e0f590526,2594,Ebola virus,"Reproduction number (Effective, Re)",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Post outbreak,NA,Branching process,Time,TRUE,TRUE,NA,NA,NA,NA,NA,Both,Unspecified,Unspecified,NA,NA,68,DRC,Boende,NA,Aug,2012,NA,Oct,2012,NA,FALSE,NA,NA,FALSE,TRUE,Reproduction number,Zaire Ebola virus (EBOV),NA,NA,Other,NA,NA,Aug 2012,Oct 2012,Aug 2012 - Oct 2012,NA,NA,NA,100,"DRC, 2012",Zaire
a9b0be2651cc6d8d5899ed00f9c4bb5c,553259f4d64f8f0fc8a9bee0dc1e4792,2594,Ebola virus,Human delay - Symptom Onset/Fever to Reporting,6.23,0,Days,NA,NA,Mean,NA,NA,NA,NA,NA,NA,NA,Gamma,6.23,Mean,FALSE,5.08,Mean sd,FALSE,FALSE,Post outbreak,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,Both,Unspecified,Unspecified,NA,NA,68,DRC,Boende,NA,Aug,2012,NA,Oct,2012,NA,FALSE,Symptom Onset/Fever,Reporting,FALSE,FALSE,Human delay,Zaire Ebola virus (EBOV),Symptom Onset/Fever to Reporting,Symptom onset to reporting,Symptom onset,NA,NA,Aug 2012,Oct 2012,Aug 2012 - Oct 2012,NA,NA,NA,100,"DRC, 2012",Zaire
a9b0be2651cc6d8d5899ed00f9c4bb5c,e499a4c8fdb7b5c3fa3938d3e0c4ea7c,2594,Ebola virus,Human delay - Symptom Onset/Fever to Admission to Care/Hospitalisation,4.95,0,Days,NA,NA,Mean,NA,NA,NA,NA,NA,NA,NA,Gamma,4.95,Mean,FALSE,3.32,Mean sd,FALSE,FALSE,Post outbreak,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,Both,Unspecified,Unspecified,NA,NA,68,DRC,Boende,NA,Aug,2012,NA,Oct,2012,NA,FALSE,Symptom Onset/Fever,Admission to Care/Hospitalisation,FALSE,FALSE,Human delay,Zaire Ebola virus (EBOV),Symptom Onset/Fever to Admission to Care/Hospitalisation,Symptom onset to admission to care,Symptom onset,NA,NA,Aug 2012,Oct 2012,Aug 2012 - Oct 2012,NA,NA,NA,100,"DRC, 2012",Zaire
a9b0be2651cc6d8d5899ed00f9c4bb5c,8553c58d86117872d0c0138435705669,2594,Ebola virus,Human delay - Symptom Onset/Fever to Death,9.39,0,Days,NA,NA,Mean,NA,NA,NA,NA,NA,NA,NA,Gamma,9.39,Mean,FALSE,5.67,Mean sd,FALSE,FALSE,Post outbreak,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,Both,Unspecified,Unspecified,NA,NA,68,DRC,Boende,NA,Aug,2012,NA,Oct,2012,NA,FALSE,Symptom Onset/Fever,Death,FALSE,FALSE,Human delay,Zaire Ebola virus (EBOV),Symptom Onset/Fever to Death,Symptom onset to death,Symptom onset,NA,NA,Aug 2012,Oct 2012,Aug 2012 - Oct 2012,NA,NA,NA,100,"DRC, 2012",Zaire
a9b0be2651cc6d8d5899ed00f9c4bb5c,bf89f1c17f2637ff32c8cfc2f647b040,2594,Ebola virus,Human delay - Admission to Care/Hospitalisation to Death,4.86,0,Days,NA,NA,Mean,NA,NA,NA,NA,NA,NA,NA,Gamma,4.86,Mean,FALSE,4.23,Mean sd,FALSE,FALSE,Post outbreak,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,Both,Unspecified,Unspecified,NA,NA,68,DRC,Boende,NA,Aug,2012,NA,Oct,2012,NA,FALSE,Admission to Care/Hospitalisation,Death,FALSE,FALSE,Human delay,Zaire Ebola virus (EBOV),Admission to Care/Hospitalisation to Death,Admission to care to death,Admission to care,NA,NA,Aug 2012,Oct 2012,Aug 2012 - Oct 2012,NA,NA,NA,100,"DRC, 2012",Zaire
a9b0be2651cc6d8d5899ed00f9c4bb5c,af7a53d6cfdc63aa6d1ec49213286406,2594,Ebola virus,Severity - case fatality rate (CFR),79,0,Percentage (%),44,96,Mean,NA,NA,76,82,95% CI,526,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Post outbreak,Adjusted,NA,Other,TRUE,FALSE,NA,NA,NA,NA,NA,Both,Unspecified,Unspecified,NA,NA,NA,DRC,Yambuku Kikwit Mweka Isiro Boende,NA,Aug,1976,NA,Nov,2012,NA,FALSE,NA,NA,FALSE,FALSE,Severity,Bundibugyo virus (BDBV) ;Zaire Ebola virus (EBOV),NA,NA,Other,NA,NA,Aug 1976,Nov 2012,Aug 1976 - Nov 2012,44 - 96,95% CI,76 - 82,100,Multiple outbreaks,Unspecified
455bee28fdd4ee07843c5cd092f41a10,f7ad0b31a4bc9a9b22a8ae7861c0a9ab,2624,Ebola virus,Risk factors,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Post outbreak,NA,NA,NA,FALSE,FALSE,Infection,Funeral;Hospitalisation;Non-household contact;Occupation;Other,Funeral and burial services;Healthcare,Significant,Not adjusted,Both,Unspecified,Unspecified,NA,NA,44,DRC,Kikwit,NA,NA,1995,NA,NA,1995,NA,FALSE,NA,NA,FALSE,FALSE,Risk factors,Unspecified,NA,NA,Other,NA,NA,1995,1995,1995,NA,NA,NA,40,"DRC, 1995",Zaire
455bee28fdd4ee07843c5cd092f41a10,bdbd1812cc7f43a5e7ba8305231fd098,2624,Ebola virus,Risk factors,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Post outbreak,NA,NA,NA,FALSE,FALSE,Infection,Occupation;Other;Social gathering,Other,Not significant,Not adjusted,Both,Unspecified,Unspecified,NA,NA,12,DRC,Kikwit,NA,NA,1995,NA,NA,1995,NA,FALSE,NA,NA,FALSE,FALSE,Risk factors,Unspecified,NA,NA,Other,NA,NA,1995,1995,1995,NA,NA,NA,40,"DRC, 1995",Zaire
455bee28fdd4ee07843c5cd092f41a10,4d69a5bef8f081125964827459dfbf43,2624,Ebola virus,Human delay - Symptom Onset/Fever to Death,NA,0,Days,8,10,Median,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Post outbreak,NA,NA,Other,TRUE,TRUE,NA,NA,NA,NA,NA,Both,Unspecified,Unspecified,NA,NA,86,DRC,Kikwit,NA,NA,1995,NA,NA,1995,NA,FALSE,Symptom Onset/Fever,Death,FALSE,FALSE,Human delay,Unspecified,Symptom Onset/Fever to Death,Symptom onset to death,Symptom onset,NA,NA,1995,1995,1995,8 - 10,NA,NA,40,"DRC, 1995",Zaire
455bee28fdd4ee07843c5cd092f41a10,1e7995687059fd7dfd2cb137366a5fbf,2624,Ebola virus,Severity - case fatality rate (CFR),NA,0,Percentage (%),54,83,Unspecified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Post outbreak,Naive,NA,Other,TRUE,TRUE,NA,NA,NA,NA,NA,Both,Unspecified,Unspecified,NA,NA,86,DRC,Kikwit,NA,NA,1995,NA,NA,1995,NA,FALSE,NA,NA,FALSE,FALSE,Severity,Unspecified,NA,NA,Other,NA,NA,1995,1995,1995,54 - 83,NA,NA,40,"DRC, 1995",Zaire
56a925db95e6944c43dc3654965252ea,9d9741f8c633c5fe1057f340387a87d0,2635,Ebola virus,Seroprevalence - IFA,3,0,Percentage (%),NA,NA,Unspecified,NA,NA,NA,NA,NA,4,132,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Unspecified,Naive,NA,Region,TRUE,FALSE,NA,NA,NA,NA,NA,Both,Community based,Persons under investigation,20,40,132,Uganda,Karamoja,NA,May,1984,NA,May,1984,NA,FALSE,NA,NA,FALSE,FALSE,Seroprevalence,Zaire Ebola virus (EBOV),NA,NA,Other,NA,NA,May 1984,May 1984,May 1984,NA,NA,NA,20,Unspecified,Zaire
56a925db95e6944c43dc3654965252ea,3891cca175f85f2d5d72e1d92356a33f,2635,Ebola virus,Seroprevalence - IFA,3,0,Percentage (%),NA,NA,Unspecified,NA,NA,NA,NA,NA,4,132,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Unspecified,Naive,NA,Region,TRUE,FALSE,NA,NA,NA,NA,NA,Both,Community based,Persons under investigation,20,40,132,Uganda,Karamoja,NA,May,1984,NA,May,1984,NA,FALSE,NA,NA,FALSE,FALSE,Seroprevalence,Sudan virus (SUDV),NA,NA,Other,NA,NA,May 1984,May 1984,May 1984,NA,NA,NA,20,Unspecified,Sudan
